student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout,risk_level,risk_level_encoded,engagement_score,academic_performance,study_intensity,assignment_completion,activity_participation,attendance_performance_interaction,study_assignment_interaction,failure_risk
205631,1,2,3,2,0,24.0,4.08179151622143,75.8938894379048,32131,4.0,22.4,51,0,5,1,0,Low,1,0,4.08179151622143,22.4,51,5,309.783034040687,1142.3999999999999,True
216897,3,6,1,0,4,19.0,4.2275513463924,67.169353302553,26360,6.0,5.9,10,3,3,3,1,High,0,1,4.2275513463924,5.9,10,3,283.96188999051475,59.0,True
205436,3,6,3,0,1,25.0,5.22522420705913,60.9143317106608,15732,6.0,15.1,36,4,6,1,1,High,0,1,5.22522420705913,15.1,36,6,318.29104061137434,543.6,True
207353,0,5,1,1,0,26.0,4.47195034239574,74.5842176850286,42785,4.0,17.3,3,1,2,2,0,Low,1,0,4.47195034239574,17.3,3,2,333.53691781388204,51.900000000000006,True
214784,2,3,1,0,4,18.0,4.32231129484293,76.7299896621712,16049,2.0,24.9,35,3,8,1,0,Low,1,0,4.32231129484293,24.9,35,8,331.6509009699838,871.5,True
203473,3,1,0,0,4,25.0,4.26936751049058,71.5759282237722,68582,5.0,17.6,20,2,1,2,1,High,0,1,4.26936751049058,17.6,20,1,305.58394249177877,352.0,True
209656,3,2,0,0,3,26.0,6.01314741218525,89.2925569035329,75144,2.0,8.6,21,3,9,1,0,Low,1,0,6.01314741218525,8.6,21,9,536.929307471883,180.6,True
207181,3,3,2,0,1,21.0,5.13765010249944,71.3443811463776,67847,4.0,21.7,56,3,9,1,0,Low,1,0,5.13765010249944,21.7,56,9,366.54246710944597,1215.2,True
202090,3,2,2,0,1,17.0,4.30594952278298,73.1380447327841,84148,6.0,8.7,3,2,6,3,1,High,0,1,4.30594952278298,8.7,3,6,314.9287288144119,26.099999999999998,True
217123,1,6,0,3,2,23.0,6.63710962576523,100.0,71972,3.0,19.4,35,1,6,1,0,Low,1,0,6.63710962576523,19.4,35,6,663.710962576523,679.0,True
